RuleId__c,IsEnabled__c,Severity__c,Category__c,Subcategory__c,Source__c,PmdRuleRef__c,PostureSignal__c,Message__c,Remediation__c
APEX-TEST-001,true,Major,Quality,Unit Tests,PMD,ApexUnitTestShouldNotUseSeeAllDataTrue,Neutral,Unit test uses SeeAllData=true which exposes tests to real org data and creates dependency on existing records.,Replace @isTest(SeeAllData=true) with proper test data setup using @testSetup methods or TestDataFactory.
APEX-TEST-002,true,Major,Quality,Unit Tests,PMD,ApexUnitTestClassShouldHaveAsserts,Neutral,Unit test method contains no assertions — the test proves nothing and will always pass even if the code is broken.,Add at least one System.assert() / System.assertEquals() / System.assertNotEquals() call to verify expected behavior.
APEX-TEST-003,true,Minor,Quality,Unit Tests,PMD,ApexUnitTestMethodShouldHaveIsTestAnnotation,Neutral,Test method is missing the @isTest annotation which may cause it to be excluded from coverage reports.,Add @isTest annotation to the method.
APEX-TEST-004,true,Major,Quality,Unit Tests,PMD,TestMethodsMustBeInTestClasses,Neutral,Test method is defined outside a class annotated with @isTest — coverage may be unreliable.,Move the test method into a dedicated @isTest class.
APEX-SEC-001,true,Critical,Security,CSRF,PMD,ApexCSRF,AdaptCode,Apex code performs DML in a method callable via a GET request exposing it to cross-site request forgery.,Guard DML with @ReadOnly on the controller or move state-changing operations to POST-only actions.
APEX-SEC-002,true,Critical,Security,Open Redirect,PMD,ApexOpenRedirect,AdaptCode,Apex code passes user-controlled input to PageReference() allowing open redirect attacks.,Validate and whitelist redirect targets before using them in PageReference.
APEX-SEC-003,true,Critical,Security,Dangerous Methods,PMD,ApexDangerousMethods,AdaptCode,Apex code calls a method known to be dangerous (e.g. Database.executeBatch with uncontrolled input).,Review the call site and add input validation or replace with a safer alternative.
APEX-SEC-004,true,Critical,Security,Sharing,PMD,ApexSharingViolations,AdaptCode,Apex class does not declare a sharing keyword — record-level security may not be enforced for the running user.,Add 'with sharing' to the class declaration; use 'inherited sharing' when the sharing context should come from the caller.
APEX-SEC-005,true,Critical,Security,SOQL Injection,PMD,ApexSOQLInjection,AdaptCode,Apex code builds a SOQL query by concatenating unvalidated user input — allows an attacker to manipulate the query.,Use bind variables (:variable) in SOQL instead of string concatenation with user-controlled input.
APEX-DESIGN-001,true,Major,Quality,Complexity,PMD,NcssCount,AdaptCode,Method or class exceeds the Non Commenting Source Statements (NCSS) threshold indicating excessive complexity.,Refactor by extracting logic into smaller single-responsibility methods or classes.
APEX-DESIGN-002,true,Major,Quality,Complexity,PMD,ExcessiveParameterList,AdaptCode,Method has too many parameters making it hard to call and test.,Introduce a parameter object or break the method into smaller focused methods.
APEX-DESIGN-003,true,Major,Quality,Dead Code,PMD,UnusedMethod,Neutral,Method is defined but never called — it is dead code that adds maintenance overhead.,Remove the unused method or add appropriate tests/callers if it was intended to be used.
APEX-DESIGN-004,true,Minor,Quality,Dead Code,PMD,UnusedLocalVariable,Neutral,Local variable is declared and assigned but never read.,Remove the variable or use it if the assignment was intentional.
APEX-EP-001,true,Major,Quality,Exceptions,PMD,EmptyCatchBlock,AdaptCode,Catch block is empty — exceptions are silently swallowed making failures invisible.,Log the exception or rethrow it; never silently ignore errors.
APEX-EP-002,true,Minor,Quality,Empty Blocks,PMD,EmptyIfStmt,Neutral,If statement body is empty — likely a logic error or forgotten implementation.,Remove the empty if or implement the intended behavior.
APEX-EP-003,true,Minor,Quality,Empty Blocks,PMD,EmptyStatementBlock,Neutral,Statement block is empty with no comments explaining why.,Implement the intended logic or add an explanatory comment if the empty block is deliberate.
APEX-EP-004,true,Major,Quality,Exceptions,PMD,EmptyTryOrFinallyBlock,AdaptCode,Try or finally block is empty which defeats the purpose of structured exception handling.,Add meaningful code to the try block or remove the unnecessary try/finally.
APEX-EP-005,true,Minor,Quality,Empty Blocks,PMD,EmptyWhileStmt,Neutral,While loop body is empty — this is almost always a logic error.,Add the intended loop body or replace with a more appropriate construct.
APEX-EP-006,true,Major,Quality,Hardcoding,PMD,AvoidHardcodingId,AdaptCode,Apex code contains a hardcoded Salesforce record ID — IDs differ between orgs and change after sandboxes are refreshed.,Use Custom Labels or SOQL to look up the record dynamically instead of hardcoding its ID.
APEX-STYLE-001,true,Minor,Quality,Declarations,PMD,OneDeclarationPerLine,Neutral,Multiple variables are declared on a single line reducing readability.,Declare each variable on its own line.
APEX-STYLE-002,true,Minor,Quality,Braces,PMD,ForLoopsMustUseBraces,Neutral,For loop body is not enclosed in braces — adding statements later may silently break logic.,Wrap the for loop body in curly braces.
APEX-STYLE-003,true,Minor,Quality,Braces,PMD,IfElseStmtsMustUseBraces,Neutral,If/else branches are not enclosed in braces — adding statements later may silently break logic.,Wrap each if/else branch in curly braces.
APEX-STYLE-004,true,Minor,Quality,Braces,PMD,WhileLoopsMustUseBraces,Neutral,While loop body is not enclosed in braces — adding statements later may silently break logic.,Wrap the while loop body in curly braces.
APEX-STYLE-005,true,Minor,Quality,Braces,PMD,IfStmtsMustUseBraces,Neutral,If statement body is not enclosed in braces — adding statements later may silently break logic.,Wrap the if body in curly braces.
APEX-PERF-001,true,Major,Performance,Governor Limits,PMD,OperationWithLimitsInLoop,AdaptCode,Apex code performs SOQL queries or DML inside a loop — consumes governor limits rapidly and fails on bulk operations.,Move all SOQL/DML outside loops; use collections and bulkification patterns.
APEX-PERF-003,true,Major,Performance,Describe,PMD,EagerlyLoadedDescribeSObjectResult,AdaptCode,DescribeSObjectResult is loaded eagerly in a loop causing redundant expensive describe calls.,Cache the DescribeSObjectResult outside the loop and reuse it.
APEX-BP-001,true,Major,Quality,Access Modifiers,PMD,AvoidGlobalModifier,AdaptCode,Class or method uses global access modifier making it part of the package's public API permanently.,Use public instead of global unless the class is intentionally part of an installable package API.
